Gen 25 | Best Fitness = 28.331
Gen 26 | Best Fitness = 28.506
Gen 27 | Best Fitness = 28.506
Gen 28 | Best Fitness = 28.550
Gen 29 | Best Fitness = 28.568
Gen 30 | Best Fitness = 28.595
Gen 31 | Best Fitness = 28.620
Gen 32 | Best Fitness = 28.750
Gen 33 | Best Fitness = 28.794
Gen 34 | Best Fitness = 28.794
Gen 35 | Best Fitness = 28.794
Gen 36 | Best Fitness = 28.794
Gen 37 | Best Fitness = 28.812
Gen 38 | Best Fitness = 28.851
Gen 39 | Best Fitness = 28.851
Gen 40 | Best Fitness = 28.949
Gen 41 | Best Fitness = 28.949
Gen 42 | Best Fitness = 28.949
Gen 43 | Best Fitness = 28.949
Gen 44 | Best Fitness = 28.996
Gen 45 | Best Fitness = 29.022
Gen 46 | Best Fitness = 29.081
Gen 47 | Best Fitness = 29.081
Gen 48 | Best Fitness = 29.081
Gen 49 | Best Fitness = 29.225
Gen 50 | Best Fitness = 29.225
Gen 51 | Best Fitness = 29.225
Gen 52 | Best Fitness = 29.225
Gen 53 | Best Fitness = 29.239
Gen 54 | Best Fitness = 29.239
Gen 55 | Best Fitness = 29.239
Gen 56 | Best Fitness = 29.239
Gen 57 | Best Fitness = 29.239
Gen 58 | Best Fitness = 29.489
Gen 59 | Best Fitness = 29.489
Gen 60 | Best Fitness = 29.499
Gen 61 | Best Fitness = 29.499
Gen 62 | Best Fitness = 29.641
Gen 63 | Best Fitness = 29.641
Gen 64 | Best Fitness = 29.641
Gen 65 | Best Fitness = 29.641
Gen 66 | Best Fitness = 29.675
Gen 67 | Best Fitness = 29.675
Gen 68 | Best Fitness = 29.675
Gen 69 | Best Fitness = 29.675
Gen 70 | Best Fitness = 29.675
Gen 71 | Best Fitness = 29.737
Gen 72 | Best Fitness = 29.773
Gen 73 | Best Fitness = 29.805
Gen 74 | Best Fitness = 29.857
Gen 75 | Best Fitness = 29.857
Gen 76 | Best Fitness = 29.874
Gen 77 | Best Fitness = 29.874
Gen 78 | Best Fitness = 29.927
Gen 79 | Best Fitness = 29.927
Gen 80 | Best Fitness = 29.931
Gen 81 | Best Fitness = 30.041
Gen 82 | Best Fitness = 30.064
Gen 83 | Best Fitness = 30.067
Gen 84 | Best Fitness = 30.179
Gen 85 | Best Fitness = 30.179
Gen 86 | Best Fitness = 30.179
Gen 87 | Best Fitness = 30.295
Gen 88 | Best Fitness = 30.295
Gen 89 | Best Fitness = 30.367
Gen 90 | Best Fitness = 30.367
Gen 91 | Best Fitness = 30.367
Gen 92 | Best Fitness = 30.440
Gen 93 | Best Fitness = 30.440
Gen 94 | Best Fitness = 30.681
Gen 95 | Best Fitness = 30.681
Gen 96 | Best Fitness = 30.681
Gen 97 | Best Fitness = 30.681
Gen 98 | Best Fitness = 30.681
Gen 99 | Best Fitness = 30.857
Gen 100 | Best Fitness = 30.857
Gen 101 | Best Fitness = 30.857
Gen 102 | Best Fitness = 30.857
Gen 103 | Best Fitness = 30.857
Gen 104 | Best Fitness = 30.963
Gen 105 | Best Fitness = 31.019
Gen 106 | Best Fitness = 31.079
Gen 107 | Best Fitness = 31.165
Gen 108 | Best Fitness = 31.165
Gen 109 | Best Fitness = 31.172
Gen 110 | Best Fitness = 31.449
Gen 111 | Best Fitness = 31.449
Gen 112 | Best Fitness = 31.537
Gen 113 | Best Fitness = 31.537
Gen 114 | Best Fitness = 31.537
Gen 115 | Best Fitness = 31.537
Gen 116 | Best Fitness = 31.537
Gen 117 | Best Fitness = 31.537
Gen 118 | Best Fitness = 31.537
Gen 119 | Best Fitness = 31.537
Gen 120 | Best Fitness = 31.553
Gen 121 | Best Fitness = 31.553
Gen 122 | Best Fitness = 31.637
Gen 123 | Best Fitness = 31.637
Gen 124 | Best Fitness = 31.637
Gen 125 | Best Fitness = 31.709
Gen 126 | Best Fitness = 31.709
Gen 127 | Best Fitness = 31.709
Gen 128 | Best Fitness = 31.709
Gen 129 | Best Fitness = 31.709
Gen 130 | Best Fitness = 31.718
Gen 131 | Best Fitness = 31.722
Gen 132 | Best Fitness = 31.748
Gen 133 | Best Fitness = 31.748
Gen 134 | Best Fitness = 31.761
Gen 135 | Best Fitness = 31.761
Gen 136 | Best Fitness = 31.772
Gen 137 | Best Fitness = 31.784
Gen 138 | Best Fitness = 31.790
Gen 139 | Best Fitness = 31.790
Gen 140 | Best Fitness = 31.829
Gen 141 | Best Fitness = 31.843
Gen 142 | Best Fitness = 31.850
Gen 143 | Best Fitness = 31.857
Gen 144 | Best Fitness = 31.915
Gen 145 | Best Fitness = 31.915
Gen 146 | Best Fitness = 31.915
Gen 147 | Best Fitness = 31.932
Gen 148 | Best Fitness = 31.939
Gen 149 | Best Fitness = 32.140
Gen 150 | Best Fitness = 32.248
Gen 151 | Best Fitness = 32.248
Gen 152 | Best Fitness = 32.248
Gen 153 | Best Fitness = 32.248
Gen 154 | Best Fitness = 32.267
Gen 155 | Best Fitness = 32.354
Gen 156 | Best Fitness = 32.354
Gen 157 | Best Fitness = 32.354
Gen 158 | Best Fitness = 32.407
Gen 159 | Best Fitness = 32.469
Gen 160 | Best Fitness = 32.481
Gen 161 | Best Fitness = 32.519
Gen 162 | Best Fitness = 32.572
Gen 163 | Best Fitness = 32.572
Gen 164 | Best Fitness = 32.572
Gen 165 | Best Fitness = 32.679
Gen 166 | Best Fitness = 32.679
Gen 167 | Best Fitness = 32.725
Gen 168 | Best Fitness = 32.759
Gen 169 | Best Fitness = 32.782
Gen 170 | Best Fitness = 32.782
Gen 171 | Best Fitness = 32.782
Gen 172 | Best Fitness = 32.788
Gen 173 | Best Fitness = 32.801
Gen 174 | Best Fitness = 32.801
Gen 175 | Best Fitness = 32.804
Gen 176 | Best Fitness = 32.821
Gen 177 | Best Fitness = 32.830
Gen 178 | Best Fitness = 32.844
Gen 179 | Best Fitness = 32.858
Gen 180 | Best Fitness = 32.873
Gen 181 | Best Fitness = 32.873
Gen 182 | Best Fitness = 32.917
Gen 183 | Best Fitness = 32.917
Gen 184 | Best Fitness = 33.013
Gen 185 | Best Fitness = 33.013
Gen 186 | Best Fitness = 33.013
Gen 187 | Best Fitness = 33.013
Gen 188 | Best Fitness = 33.074
Gen 189 | Best Fitness = 33.074
Gen 190 | Best Fitness = 33.158
Gen 191 | Best Fitness = 33.169
Gen 192 | Best Fitness = 33.278
Gen 193 | Best Fitness = 33.278
Gen 194 | Best Fitness = 33.329
Gen 195 | Best Fitness = 33.357
Gen 196 | Best Fitness = 33.413
Gen 197 | Best Fitness = 33.576
Gen 198 | Best Fitness = 33.576
Gen 199 | Best Fitness = 33.576
Gen 200 | Best Fitness = 33.594

======== GA RUN 28 of 50 ========
Gen 1 | Best Fitness = 6.091
Gen 2 | Best Fitness = 6.091
Gen 3 | Best Fitness = 6.525
Gen 4 | Best Fitness = 7.851
Gen 5 | Best Fitness = 16.014
Gen 6 | Best Fitness = 16.014
Gen 7 | Best Fitness = 16.014
Gen 8 | Best Fitness = 21.555
Gen 9 | Best Fitness = 21.555
Gen 10 | Best Fitness = 21.555
Gen 11 | Best Fitness = 22.260
Gen 12 | Best Fitness = 26.471
Gen 13 | Best Fitness = 26.471
Gen 14 | Best Fitness = 26.471
Gen 15 | Best Fitness = 26.471
Gen 16 | Best Fitness = 26.981
Gen 17 | Best Fitness = 26.981
Gen 18 | Best Fitness = 26.981
Gen 19 | Best Fitness = 26.981
Gen 20 | Best Fitness = 26.981
Gen 21 | Best Fitness = 26.981
Gen 22 | Best Fitness = 26.981
Gen 23 | Best Fitness = 26.981
Gen 24 | Best Fitness = 26.981
Gen 25 | Best Fitness = 26.981
Gen 26 | Best Fitness = 26.981
Gen 27 | Best Fitness = 26.981
Gen 28 | Best Fitness = 27.050
Gen 29 | Best Fitness = 27.050
Gen 30 | Best Fitness = 27.050
Gen 31 | Best Fitness = 27.212
Gen 32 | Best Fitness = 27.279
Gen 33 | Best Fitness = 27.279
Gen 34 | Best Fitness = 27.279
Gen 35 | Best Fitness = 27.302
Gen 36 | Best Fitness = 27.302
